VST3i: Surge XT (Surge Synth Team) (2->6ch)

ID,Name,Value Current,Value Middle,Value Min,Value Max,Context Current,Context Middle,Context Min,Context Max
240,A Send FX 1 Level,00.00,00.50,00.00,01.00,-inf dB,-6.00 dB,-inf dB,12.00 dB
241,A Send FX 2 Level,00.00,00.50,00.00,01.00,-inf dB,-6.00 dB,-inf dB,12.00 dB
242,A Send FX 3 Level,00.00,00.50,00.00,01.00,-inf dB,-6.00 dB,-inf dB,12.00 dB
243,A Send FX 4 Level,00.00,00.50,00.00,01.00,-inf dB,-6.00 dB,-inf dB,12.00 dB
244,A Pitch Bend Up Range,00.09,00.50,00.00,01.00,2 semitones,12 semitones,0 semitones,24 semitones
245,A Pitch Bend Down Range,00.09,00.50,00.00,01.00,2 semitones,12 semitones,0 semitones,24 semitones
246,A VCA Gain,00.50,00.50,00.00,01.00,0.00 dB,0.00 dB,-48.00 dB,48.00 dB
247,A Velocity > VCA Gain,01.00,00.50,00.00,01.00,0.00 dB,-24.00 dB,-48.00 dB,0.00 dB
248,A Feedback,00.50,00.50,00.00,01.00,0.00 %,0.00 %,-100.00 %,100.00 %
249,A Filter Configuration,01.00,00.50,00.00,01.00,Wide,Dual 2,Serial 1,Wide
250,A Filter Balance,00.50,00.50,00.00,01.00,0.00 %,0.00 %,-100.00 %,100.00 %
251,A Highpass,00.00,00.50,00.00,01.00,6.88 Hz,84.82 Hz,6.88 Hz,1046.50 Hz
252,A Waveshaper Type,00.00,00.50,00.00,01.00,Off,Additive 12345,Off,Soft Single Fold
253,A Waveshaper Drive,00.50,00.50,00.00,01.00,0.00 dB,0.00 dB,-24.00 dB,24.00 dB
254,A Filter 2 Offset Mode,00.00,00.50,00.00,01.00,Off,Off,Off,On
255,A Link Resonance,00.00,00.50,00.00,01.00,Off,Off,Off,On
256,A Osc 1 Type,00.00,00.50,00.00,01.00,Classic,FM2,Classic,Alias
257,A Osc 1 Octave,00.50,00.50,00.00,01.00,0,0,-3,3
258,A Osc 1 Pitch,00.50,00.50,00.00,01.00,0.00 semitones,0.00 semitones,-7.00 semitones,7.00 semitones
